证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,relativeYear
832032.OC,2007,2015-03-06,申万宏源证券有限公司,非高新产业区,化学原料和化学制品制造业,,2015,3,青晨科技,123254293.13,45983426.21,124408049.39,74220482.79,8275034.02,3922310.57,473229.49,24029101.84,822648.99,23206452.85,49263859.88,35096195.92,15326236.58,28.5119,,,,,,,,挂牌前,-4
832126.OC,2008,2015-03-16,新时代证券股份有限公司,非高新产业区,医药制造业,,2015,3,康乐药业,367174269.12,135199316.39,403775914.64,314921960.07,22122264.45,22431723.23,2958942.62,30725024.55,578400.0,30146600.0,38999062.45,61277960.95,82269972.91,8.5355,,,,,,,,挂牌前,-4
832383.OC,2011,2015-05-05,长江证券股份有限公司,非高新产业区,道路运输业,,2015,5,大通物流,467503648.69,259588979.97,266965125.28,181208178.18,6736847.99,16135092.92,-287173.56,43434626.13,4446000.0,38988600.0,41625642.32,33684338.79,186315610.49,9.6072,,,,,,,,挂牌前,-4
832399.OC,2011,2015-05-21,国联证券股份有限公司,非高新产业区,道路运输业,,2015,5,宁波公运,,,1568450000.0,,,,,128080000.0,,,,,,,,,,,,,,挂牌前,-4
832474.OC,2011,2015-07-21,东兴证券股份有限公司,非高新产业区,专用设备制造业,,2015,7,卓越鸿昌,246886761.89,170895478.09,182804580.78,99727386.3,16148534.74,11636006.39,985733.53,47903873.1,1911423.5,45992449.6,35189901.4,21532996.99,57997039.32,23.5096,4303300.0,,-14810600.0,-11487100.0,7515800.0,,,挂牌前,-4
832482.OC,2010,2015-05-18,江海证券有限公司,非高新产业区,农业,,2015,5,菁茂农业,36046491.49,23913455.49,37339429.95,29752762.97,,2383513.85,874611.52,8647414.46,,,5465054.33,,12751841.97,23.9896,,,,,,,,挂牌前,-4
832498.OC,2009,2015-06-19,中国国际金融股份有限公司,非高新产业区,软件和信息技术服务业,,2015,6,明源软件,63011983.82,45018530.85,70215162.29,2309827.49,18980040.82,34075592.02,-150709.32,18041571.27,1502322.89,16539248.38,15390484.16,16495961.27,3718200.86,34.1182,,,,,,,,挂牌前,-4
832528.OC,2010,2015-05-29,长城证券股份有限公司,非高新产业区,专用设备制造业,,2015,5,斯迈柯,367500386.23,146058855.86,242720108.9,177785997.22,3714915.56,21849541.09,5727640.08,26109291.49,469018.47,25640273.02,37601970.11,49084220.01,68627338.72,8.311,5066900.0,,-10700900.0,9492200.0,1694200.0,,,挂牌前,-4
832537.OC,2010,2015-06-03,民生证券股份有限公司,非高新产业区,专用设备制造业,,2015,6,洁华控股,528328947.04,145056482.22,437567149.1,343463656.79,7817370.11,40306501.12,761606.92,37556252.67,-493113.94,38049366.61,3602420.62,83840162.35,145084719.5,7.3714,8668500.0,118200.0,2660100.0,-51963100.0,-14600.0,,,挂牌前,-4
832564.OC,2011,2015-06-05,中泰证券股份有限公司,非高新产业区,建筑安装业,,2015,6,富特股份,9861522.42,9873377.84,,,,,,,,,,,5499.0,,,,,,,,,挂牌前,-4
832568.OC,2011,2015-06-17,东北证券股份有限公司,非高新产业区,通用设备制造业,,2015,6,阿波罗,346590000.0,,195580000.0,,,,,,,,,,,,,,,,,,,挂牌前,-4
832598.OC,2011,2015-06-10,西南证券股份有限公司,非高新产业区,专业技术服务业,,2015,6,大野创意,22975528.31,13074487.94,15432474.3,7802028.37,541548.35,4523204.77,341348.48,1042871.17,,,-3363866.09,7316240.75,511372.79,4.9542,196223.0,7000.0,,-1657719.21,-3236530.04,,,挂牌前,-4
832611.OC,2011,2015-06-11,长江证券股份有限公司,非高新产业区,互联网和相关服务,,2015,6,凯迪网络,14569682.14,12453936.6,9891557.18,,,,,-596689.3,,,,,,,,,,,,,,挂牌前,-4
832615.OC,2011,2015-06-17,信达证券股份有限公司,非高新产业区,专用设备制造业,,2015,6,双发股份,144500123.92,96929685.51,69537166.74,51559519.06,4486038.01,8872594.42,1454641.99,8245743.71,,,-1987905.26,25190842.13,52889154.04,5.7064,2742481.24,,-10557127.77,-2280283.64,-1607437.31,,,挂牌前,-4
832675.OC,2011,2015-07-01,国信证券股份有限公司,非高新产业区,电气机械和器材制造业,,2015,7,福达合金,,,1300140000.0,,,,,,,,,,,,,,,,,,,挂牌前,-4
832686.OC,2011,2015-07-02,国盛证券有限责任公司,非高新产业区,软件和信息技术服务业,,2015,7,育星达,6247919.95,4241200.92,,,,,,,,,,426807.02,1200995.12,,,,,,,,,挂牌前,-4
832715.OC,2006,2015-07-15,中信证券股份有限公司,大连高新区,软件和信息技术服务业,,2015,7,华信股份,526181924.39,277995902.22,429315966.56,286063659.68,1226591.28,57689865.36,2446023.76,91888273.28,4262569.22,87625704.06,136122841.29,30590959.15,74457416.27,19.9704,,,,,,,,挂牌前,-4
832737.OC,2011,2015-07-10,中信建投证券股份有限公司,非高新产业区,零售业,,2015,7,恒信玺利,944891103.63,576851471.11,741266545.53,,,,,105404093.41,,,,,,,,,,,,,,挂牌前,-4
832766.OC,2011,2015-07-20,西南证券股份有限公司,新余高新区,计算机、通信和其他电子设备制造业,,2015,7,沃格光电,56374747.77,38747942.46,20642485.39,13331360.29,2657322.12,3419099.14,36762.55,551019.39,,,-5595793.46,11784974.04,25311477.17,0.9774,,,,,,2015-03-12,2011-12-31,挂牌前,-4
832821.OC,2010,2015-07-22,国金证券股份有限公司,非高新产业区,食品制造业,,2015,7,金丹科技,,,2651430000.0,,,,,,,,,,,,,,,,,,,挂牌前,-4
832856.OC,2011,2015-07-22,东莞证券股份有限公司,非高新产业区,化学原料和化学制品制造业,,2015,7,一滕股份,199977181.58,96459356.64,249035434.22,194674747.03,5598186.52,21701709.36,2600206.79,29107439.59,523200.0,28584200.0,28942814.73,28900479.63,61541760.51,14.5554,8728600.0,,-8950400.0,-16798200.0,15955600.0,,,挂牌前,-4
832870.OC,2011,2015-07-23,华龙证券股份有限公司,非高新产业区,橡胶和塑料制品业,,2015,7,博浪股份,40192143.34,5393461.2,46299318.27,38572827.15,1514739.13,3040468.35,2419136.84,-448238.95,,,-3262500.91,5373136.67,7333224.81,-1.3114,604158.52,,-2062837.28,-9177464.87,6359776.58,,,挂牌前,-4
832910.OC,2010,2015-07-29,国泰君安证券股份有限公司,非高新产业区,农副食品加工业,,2015,7,伊赛牛肉,104265416.29,48003298.27,130062629.69,109174756.62,1295579.55,4808029.5,2635606.58,12886294.06,,,-1306036.45,9923972.1,48931863.66,15.4868,2051519.26,,-5902295.14,-5589828.13,-7767093.17,,,挂牌前,-4
833081.OC,2011,2015-07-28,国海证券股份有限公司,非高新产业区,有色金属冶炼和压延加工业,,2015,7,顺博合金,933110337.06,370940574.97,1790475345.94,1708235041.71,6095179.64,14867970.76,30173687.59,42192442.86,,,-32189510.52,237271033.44,93735779.8,4.9339,3640712.79,8867.92,-32970894.39,-184121886.14,71431853.7,,,挂牌前,-4
