证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,relativeYear
835627.OC,2010,2016-01-20,西南证券股份有限公司,非高新产业区,医药制造业,,2016,1,南松医药,33431081.11,31737400.27,30467597.42,21980254.79,751394.25,4377685.91,97534.76,4455445.11,,,11848789.87,3196534.46,3862768.37,12.9602,985476.97,,-20907.95,7164821.35,-551911,,,挂牌前,-5
835640.OC,2009,2016-02-03,招商证券股份有限公司,西安高新区,计算机、通信和其他电子设备制造业,,2016,2,富士达,,,200790000,,,,,,,,,,,,,,,,,,,挂牌前,-5
835765.OC,2008,2016-02-02,国都证券股份有限公司,非高新产业区,通用设备制造业,,2016,2,上深股份,18800000,,28030000,,,,,,,,,,,,,,,,,,,挂牌前,-7
835765.OC,2009,2016-02-02,国都证券股份有限公司,非高新产业区,通用设备制造业,,2016,2,上深股份,24850000,,35080000,,,,,,,,,,,,,,,,,,,挂牌前,-6
835765.OC,2010,2016-02-02,国都证券股份有限公司,非高新产业区,通用设备制造业,,2016,2,上深股份,32010000,,32640000,,,,,,,,,,,,,,,,,,,挂牌前,-5
835776.OC,2008,2016-02-29,招商证券股份有限公司,非高新产业区,化学原料和化学制品制造业,,2016,2,招金励福,342458844.42,205660940.53,3374840166.98,3281969615.08,14105485.3,13139327.86,15870668.01,42734837.13,-132874.16,42867700,63392228.25,100780207.74,32935035.89,12.3626,,,,,,,,挂牌前,-5
835891.OC,2007,2016-03-15,安信证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2016,3,侏罗纪,31183312.83,20704215.45,31416987.74,7537555.97,2623384.59,8602744.31,-9296.58,9456088.28,2774128.52,6681959.76,1160351.83,17843454.58,2337161.47,30.3242,,,,,,,,挂牌前,-5
835951.OC,2006,2016-02-29,中国银河证券股份有限公司,中关村科技园区,专用设备制造业,,2016,2,科净源,42124449.9,21395866.72,30197474.72,14213905.04,6736296.63,5244899.67,204362.6,2601663.74,-175179.48,2776843.22,1449104.09,23142470.64,281963.47,6.1761,67600,,-1570600,5092900,-5881600,,,挂牌前,-5
836119.OC,2008,2016-03-23,东兴证券股份有限公司,中关村科技园区,计算机、通信和其他电子设备制造业,,2016,3,朝歌科技,166114261,78249994.81,199186121.02,146326988.47,7369547.57,14470193.07,2372933.46,23316308.97,454953.76,22861355.21,-49359629.76,28387463.56,8515185.63,14.0363,,,,,,,,挂牌前,-5
836153.OC,2008,2016-03-21,招商证券股份有限公司,中关村科技园区,航空运输业,,2016,3,明邦物流,,,260100000,,,,,,,,,,,,,,,,,,,挂牌前,-5
