证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,relativeYear
430729.OC,2011,2014-05-05,南京证券股份有限公司,宁波高新区,计算机、通信和其他电子设备制造业,,2014,5,万里智能,15898406.45,10959335.61,13914852.63,9312746.53,652876.13,1940293.07,-2896.2,1998688.28,3531.82,1995200,885861,3302114.86,2720456.87,12.5716,604376.76,,2757536.73,-6637428.2,1845940.62,,,挂牌前,-3
430730.OC,2011,2014-05-06,华融证券股份有限公司,非高新产业区,批发业,,2014,5,先大药业,5051270.78,4095639.22,41439969.94,35700005.85,2526135.52,1638058.27,-1493.1,992289.76,0,992289.76,801469.85,1054858.68,875532.87,19.6444,154204.56,,-1650897.04,1044309.75,261562.82,,,挂牌前,-3
430733.OC,2011,2014-05-06,中信建投证券股份有限公司,中关村科技园区,食品制造业,,2014,5,御食园,217206410.66,112180994.43,339015105.55,214216983.35,62860624.29,16780201.59,2304787.6,41669394.05,6224600,35444763.2,51071738.86,35354657.07,37608803.95,19.1842,4016151.67,663843.51,2141778.16,-3260763.48,417374.84,,,挂牌前,-3
430734.OC,2011,2014-05-07,中泰证券股份有限公司,大连高新区,软件和信息技术服务业,,2014,5,ST源渤,2335312.31,843810.98,7823137.14,4565569.91,,3224426.59,-201.51,-35475.42,0,-35475.42,1222350.31,943793.19,92146.47,-1.5191,22182.05,,,-1180609.91,2373432.63,,,挂牌前,-3
430735.OC,2011,2014-07-11,申万宏源证券有限公司,非高新产业区,计算机、通信和其他电子设备制造业,,2014,7,智达康,374202246.05,141768085.08,440880433.09,310101762.6,41562437.68,35975509.43,519374.26,39109405.44,585957.87,38523447.57,44550185.59,63148588.24,46588788.98,10.4514,5044059,,-37708545.88,-101699365.71,130477193.18,,,挂牌前,-3
430736.OC,2011,2014-05-05,华龙证券股份有限公司,非高新产业区,农业,,2014,5,中江种业,266325384.18,110769891.95,230468150.74,177507898.5,10451632.86,27169656.43,1407553.42,10744806.06,1962507.62,8782298.44,-43408767.13,43746452.12,32064313.96,4.1938,3205545.15,93596.5,-48169825.55,-48256326.33,33637176.36,,,挂牌前,-3
430741.OC,2011,2014-05-05,申万宏源证券有限公司,重庆高新区,土木工程建筑业,,2014,5,格林绿化,58725585.67,12757883.24,57465645.65,47023984.23,90979.3,2719350.61,2761060.25,2728377.94,1890,2726487.94,12710555.64,11681986.41,268694.86,4.646,68572.73,,-7121609.2,-2683014.71,18066456.81,,,挂牌前,-3
430743.OC,2011,2014-05-06,广州证券股份有限公司,非高新产业区,商务服务业,,2014,5,尚思传媒,1783356.94,1086449.17,6867293.06,5402614.89,,1034527.3,-539.85,156617.07,0,156617.07,397838.61,283278.8,207238.54,8.7821,58248.46,,,-279868,458216.12,,,挂牌前,-3
430744.OC,2011,2014-05-05,中泰证券股份有限公司,广州高新区,软件和信息技术服务业,,2014,5,全岛互联,2142197.76,1926618.3,706754.37,22500,44000,656240.08,-2239.02,-52850.63,-4951.47,-47899.16,6368.4,286900,22732.44,-2.4671,5256.77,,,-181136,214363.44,,,挂牌前,-3
430745.OC,2011,2014-05-05,长江证券股份有限公司,西安高新区,仪器仪表制造业,,2014,5,诺文科技,9025687.07,4291151.49,7904842.3,5952503.2,306711.66,864220.69,2000.74,615276.06,-123526.69,738802.75,-680435.91,3279376.12,848775.61,6.8169,29910.24,,-1163020.6,-2939797.22,2746480.23,,,挂牌前,-3
